Pharmacie,Adresse_Complete,Telephone,Deja_Contacte,RDV,Action,Distance_Cite_Universitaire_km,Coordonnees,VUE
Pharmacie Le Bœuf,"Avenue d'Italie, 75013 Paris, France",Non renseigné,non,,,1.3883471426681793,"48.8243871, 2.3574705",non
Pharmacie Maison Blanche,"160 Avenue d'Italie, 75013 Paris, France",01 45 88 37 65,non,,,1.3898978732931002,"48.8217951, 2.3582976",non
Pharmacie Hammer,"Rue de la Vistule, 75013 Paris, France",Non renseigné,non,,,1.4294067053279025,"48.8229667, 2.3585907",non
Pharmacie Homéopathique Maine Vally,"Rue Thibaud, 75014 Paris, France",Non renseigné,non,,,1.429443581983523,"48.8300949, 2.3262364",non
Pharmacie de l'Avenue,"76 Rue de Tolbiac, 75013 Paris, France",Non renseigné,non,,,1.4321340404063125,"48.8263842, 2.3568786",non
Pharmacie Tolbiac,"Rue de Tolbiac, 75013 Paris, France",Non renseigné,non,,,1.4695645678692566,"48.8260647, 2.3576772",non
Pharmacie du Lion,"Avenue du Général Leclerc, 75014 Paris, France",Non renseigné,non,,,1.488712215710685,"48.8329627, 2.3315938",non
Pharmacie Jean Moulin,"Place de la Porte de Châtillon, 75014 Paris, France",Non renseigné,non,,,1.5103003871698053,"48.8242287, 2.3195202",non
Pharmacie de la Mairie,"Rue Brézin, 75014 Paris, France",Non renseigné,non,,,1.5372790249859611,"48.8314837, 2.3264507",non
Pharmacie Nordmann Glacière,"Rue Léon-Maurice Nordmann, 75013 Paris, France",Non renseigné,non,,,1.5774498207249168,"48.8343028, 2.3449782",non
Pharmacie de la Porte d'Italie,"Rue Fernand Widal, 75013 Paris, France",Non renseigné,non,,,1.5949483208750153,"48.8187866, 2.3610099",non
Pharmacie Centrale d'Alésia,"Rue d'Alésia, 75014 Paris, France",+33 1 45 42 13 24,non,,,1.5992089065385788,"48.8295734, 2.3223284",non
Pharmacie des Plantes,"Rue Bénard, 75014 Paris, France",Non renseigné,non,,,1.6220346295863635,"48.8309683, 2.3238141",non
Pharmacie du 13ème,"5 bis Avenue d'Italie, 75013 Paris, France",+33 1 45 82 86 60,non,,,1.6236794619189165,"48.8299806, 2.3563975",non
Sarl Pharmacie Place Denfert-Rochereau,"Avenue Denfert-Rochereau, 75014 Paris, France",Non renseigné,non,,,1.6294763364847697,"48.8346489, 2.3330683",non
Pharmacie de la Place d'Italie,"Place d'Italie, 75013 Paris, France",Non renseigné,non,,,1.6323046065501352,"48.8315787, 2.3542019",non
Pharmacie de l'Europe,"Rue des Plantes, 75014 Paris, France",Non renseigné,non,,,1.6592496234136993,"48.8320415, 2.3248498",non
Pharmacie Ly Ky,"Avenue d'Ivry, 75013 Paris, France",Non renseigné,non,,,1.6610180890655841,"48.8256469, 2.3607545",non
Pharmacie Adele,"Rue Caillaux, 75013 Paris, France",Non renseigné,non,,,1.6875753554108626,"48.8230552, 2.3621472",non
Grande Pharmacie Daguerre,"Rue Daguerre, 75014 Paris, France",Non renseigné,non,,,1.7167381751554087,"48.8342739, 2.3285111",non
Pharmacie Coscas Bouzemane,"Rue Broca, 75013 Paris, France",Non renseigné,non,,,1.723195637962301,"48.835354, 2.3466019",non
Pharmacie Thiebaud Serafin,"Boulevard Arago, 75013 Paris, France",Non renseigné,non,,,1.7343796303494479,"48.8352229, 2.3476444",non
Pharmacie Raspail 14e,"Boulevard Raspail, 75014 Paris, France",Non renseigné,non,,,1.7484039109135263,"48.8354836, 2.331697",non
Pharmacie Vincent Auriol,"Boulevard Vincent Auriol, 75013 Paris, France",Non renseigné,non,,,1.771403380824838,"48.8310667, 2.3576421",non
Pharmacie des Gobelins,"Rue du Banquier, 75013 Paris, France",Non renseigné,non,,,1.855602889611437,"48.8342764, 2.3539253",non
Pharmacie Village Didot,"66 Rue Didot, 75014 Paris, France",+33 1 45 42 22 29,non,,,1.885001837144539,"48.8293682, 2.3173627",non
Pharmacie Didot-Pernety,"Rue Didot, 75014 Paris, France",+33 1 45 43 36 04,non,,,1.887193626019881,"48.8321147, 2.3204611",non
Mallebay,"Rue Boulitte, 75014 Paris, France",Non renseigné,non,,,1.8950867560835498,"48.8285931, 2.3165369",non
Pharmacie de la Porte de Choisy,"Boulevard Masséna, 75013 Paris, France",Non renseigné,non,,,1.9005039026704986,"48.8196355, 2.365317",non
Pharmacie Arago,"Boulevard Arago, 75013 Paris, France",Non renseigné,non,,,1.941270362733059,"48.8365209, 2.3502816",non
Pharmacie Villemont-Martinez,"Boulevard de Port-Royal, 75005 Paris, France",Non renseigné,non,,,1.9670763033727834,"48.8377383, 2.3460608",non
Pharmacie Olympiades Massena,"Dalle des Olympiades, 75013 Paris, France",Non renseigné,non,,,1.9782236693094022,"48.8236513, 2.3660206",non
Pharmacie du Javelot,"Dalle des Olympiades, 75013 Paris, France",Non renseigné,non,,,1.9848065282620007,"48.8251368, 2.365621",non
Pharmacie Massena 13,"Villa d'Este, 75013 Paris, France",+33144067272,non,,,1.9908656779345086,"48.8218217, 2.3665298",non
OR'EL des Gobelins,"Avenue des Gobelins, 75013 Paris, France",Non renseigné,non,,,2.003976946331954,"48.8364526, 2.3524225",non
Pharmacie Charlemagne,"Avenue du Maine, 75014 Paris, France",Non renseigné,non,,,2.0171733342168108,"48.8356376, 2.3239865",non
Pharmacie Leroy,"Boulevard de Port-Royal, 75005 Paris, France",Non renseigné,non,,,2.018315544527425,"48.8370729, 2.3509794",non
Pharmacie de la Porte Didot,"Boulevard Brune, 75014 Paris, France",Non renseigné,non,,,2.0299452936489817,"48.8258334, 2.3128357",non
Cochin - Port-Royal,"Voie B/5, 75005 Paris, France",Non renseigné,non,,,2.038359838865335,"48.8389187, 2.3404368",non
Pharmacie Bichet,"Allée Django Reinhardt, 75013 Paris, France",Non renseigné,non,,,2.0598053497773146,"48.8317439, 2.3618766",non
Pharmacie de la Maternité Port-Royal,"Boulevard de Port-Royal, 75005 Paris, France",+33 1 43 54 04 85,non,,,2.0638445829471856,"48.8391606, 2.3393954",non
RER Port-Royal,"Avenue Georges Bernanos, 75005 Paris, France",Non renseigné,non,,,2.125389016973701,"48.8396679, 2.3373828",non
Pharmacie Temstet Ouizman,"Rue Raymond Losserand, 75014 Paris, France",Non renseigné,non,,,2.1263112059459464,"48.8349689, 2.320234",non
Nationale,"Rue Nationale, 75013 Paris, France",Non renseigné,non,,,2.1300192886484237,"48.8296212, 2.3650676",non
CareStore Salpétrière,"Boulevard de l'Hôpital, 75013 Paris, France",Non renseigné,non,,,2.1466214502635133,"48.8351716, 2.3586353",non
Pharmacie Pernety,"Rue des Thermopyles, 75014 Paris, France",Non renseigné,non,,,2.150566661546419,"48.8334909, 2.3174992",non
Pharmacie Saint-Marcel,"76 Boulevard Saint-Marcel, 75005 Paris, France",Non renseigné,non,,,2.1506886961534484,"48.8375562, 2.3535349",non
Pharmacie Appel,"Rue Claude Bernard, 75005 Paris, France",Non renseigné,non,,,2.1741425353778427,"48.8388147, 2.3501978",non
Pharmacie Plaisance,"Rue d'Alésia, 75014 Paris, France",+33145431554,non,,,2.178683188967095,"48.8315542, 2.3147243",non
Saint-Médard,"146 Rue Mouffetard, 75005 Paris, France",+33 1 43 31 28 84,non,,,2.197072460102117,"48.8391333, 2.3498059",non
Pharmacie Campo-Formio Phovea,"Boulevard de l'Hôpital, 75013 Paris, France",Non renseigné,non,,,2.208073394964922,"48.8356906, 2.3590066",non
Pharmacie Val de Grace,"Rue Saint-Jacques, 75005 Paris, France",Non renseigné,non,,,2.2366401387306216,"48.8406994, 2.3405872",non
Pharmacie Ivry Massena,"Boulevard Masséna, 75013 Paris, France",Non renseigné,non,,,2.238721052206173,"48.8214555, 2.3699509",non
Alésia Plaisance,"Rue d'Alésia, 75014 Paris, France",Non renseigné,non,,,2.2457535846535412,"48.8319627, 2.3140379",non
Pharmacie Centrale,"Rue du Château des Rentiers, 75013 Paris, France",+33 1 44 24 10 00,non,,,2.253932666461345,"48.8271728, 2.3685245",non
Pharmacie Well & Well,"Rue de l'Ouest, 75014 Paris, France",Non renseigné,non,,,2.2563556477907936,"48.8360932, 2.3194943",non
Pharmacie Notre Dame des Champs,"Rue Notre-Dame-des-Champs, 75006 Paris, France",Non renseigné,non,,,2.258919946811312,"48.8406428, 2.3343655",non
Pharmacie du Marché,"Boulevard Brune, 75014 Paris, France",Non renseigné,non,,,2.262991802011156,"48.8265022, 2.3098169",non
Pharmacie Peret,"Rue Vauquelin, 75005 Paris, France",Non renseigné,non,,,2.2652760885768584,"48.8404823, 2.3461454",non
Pharmacie de l'Ouest,"Rue de l'Ouest, 75014 Paris, France",Non renseigné,non,,,2.2973461107169575,"48.8335625, 2.3149622",non
Pharmacie Jeanne d'Arc,"58 Rue Jeanne d'Arc, 75013 Paris, France",0145837847,non,,,2.3112787879853958,"48.8315222, 2.3662626",non
Pharmacie de la Paix,"Rue Raymond Losserand, 75014 Paris, France",Non renseigné,non,,,2.3328660935311536,"48.830662, 2.3114368",non
Pharmacie Les Feuillantines,"Rue Gay-Lussac, 75005 Paris, France",Non renseigné,non,,,2.3538406930444573,"48.8415876, 2.3435962",non
Pharmacie Patay,"3 Rue Jeanne d'Arc, 75013 Paris, France",0145834022,non,,,2.3786388770639446,"48.8288832, 2.3693573",non
Pharmacie Place de Catalogne,"24 Place de Catalogne, 75014 Paris, France",Non renseigné,non,,,2.3864417244463296,"48.8375805, 2.3194622",non
Pharmacie Laxan,"Rue de Mirbel, 75005 Paris, France",+33 1 43 31 72 90,non,,,2.406353573634255,"48.8407208, 2.3515033",non
Pharmacie Nahmani,"Square Dunois, 75013 Paris, France",Non renseigné,non,,,2.4119826271064713,"48.8335964, 2.3657803",non
Pharmactiv,"Rue de Tolbiac, 75013 Paris, France",Non renseigné,non,,,2.426130245156947,"48.8274933, 2.3708429",non
Pharmacie du Dome,"Rue Huyghens, 75014 Paris, France",Non renseigné,non,,,2.426168636382707,"48.8414031, 2.3294036",non
Pharmacie du Luxembourg,"Boulevard Saint-Michel, 75005 Paris, France",Non renseigné,non,,,2.429661862835195,"48.8424411, 2.3384278",non
Pharmacie du 5e,"Rue Mouffetard, 75005 Paris, France",Non renseigné,non,,,2.4485710812791335,"48.8415439, 2.3497318",non
Pharmacie Espérance,"Rue Raymond Losserand, 75014 Paris, France",Non renseigné,non,,,2.475394638623468,"48.8288286, 2.307981",non
Pharmacie Saint-Jacques,"Rue Saint-Jacques, 75005 Paris, France",Non renseigné,non,,,2.4838828430742623,"48.8428957, 2.3414897",non
Pharmacie Olivier Césaréo,"Rue Geoffroy Saint-Hilaire, 75005 Paris, France",Non renseigné,non,,,2.5033713930806503,"48.840098, 2.3564976",non
Pharmacie Edgar Quinet,"Place Stéphane Hessel, 75014 Paris, France",Non renseigné,non,,,2.516786811526172,"48.8412432, 2.3252996",non
Pharmacie des Sciences et des Arts,"Boulevard du Montparnasse, 75014 Paris, France",Non renseigné,non,,,2.5247054067414085,"48.842146, 2.3285198",non
La Grande Pharmacie du Chevaleret,"Boulevard Vincent Auriol, 75013 Paris, France",Non renseigné,non,,,2.5622588368431805,"48.8344622, 2.3673602",non
Pharmacie de la Porte de Vanves,"Sortie 1 : Boulevard Brune, 75014 Paris, France",Non renseigné,non,,,2.5771661941103163,"48.8274102, 2.3057506",non
Pharmacie Gay-Lussac,"Rue Gay-Lussac, 75005 Paris, France",Non renseigné,non,,,2.5967092798888167,"48.8438865, 2.3420707",non
Pharmacie Bienvenue,"Avenue du Maine, 75014 Paris, France",Non renseigné,non,,,2.6002369623761736,"48.8409316, 2.3218506",non
Nom inconnu,"Rue Duchefdelaville, 75013 Paris, France",Non renseigné,non,,,2.6044549019181553,"48.8322086, 2.3703008",non
Phamarcie Monge,"Place Monge, 75005 Paris, France",Non renseigné,non,,,2.6045944319994616,"48.8425995, 2.3516184",non
Pharmacie Monge,"Rue Monge, 75005 Paris, France",+33 1 43 31 39 44,non,,,2.611839475006689,"48.8425907, 2.3519394",non
Pharmacie Lam,"8 Boulevard Saint-Marcel, 75005 Paris, France",Non renseigné,non,,,2.6593050564046035,"48.8398897, 2.360876",non
Pharmacie Vavin,"Rue Vavin, 75006 Paris, France",+33 1 43 26 70 07,non,,,2.677989506730734,"48.8439265, 2.3302977",non
Pharmacie Juillet,"Rue Sainte-Beuve, 75006 Paris, France",Non renseigné,non,,,2.703631032362618,"48.8439787, 2.329252",non
Pharmacie Traditionelle Massena,"Boulevard Masséna, 75013 Paris, France",Non renseigné,non,,,2.718096590473738,"48.8236408, 2.3762387",non
Aprium Pharmacie Montparnasse,"Rue d'Odessa, 75014 Paris, France",Non renseigné,non,,,2.7407356937527165,"48.8431992, 2.3244536",non
Pharmacie Solal Bismuth,"Rue Labrouste, 75015 Paris, France",+33145324757,non,,,2.7567897852123453,"48.8360799, 2.3099828",non
Pharmacie de l'Olivier,"Rue Monge, 75005 Paris, France",Non renseigné,non,,,2.776171186776213,"48.844028, 2.3525092",non
Pharmacie du Panthéon,"Rue Saint-Jacques, 75005 Paris, France",+33 1 43 54 21 11,non,,,2.8053613320811612,"48.8457261, 2.3428618",non
Pharmacie Cuvier,"Rue Lacépède, 75005 Paris, France",Non renseigné,non,,,2.8054263086542592,"48.8437349, 2.3546913",non
Pharmacie du Jardin des Plantes,"Boulevard de l'Hôpital, 75005 Paris, France",Non renseigné,non,,,2.8309434082813536,"48.8411279, 2.3622765",non
Pharmacie des Facultés,"Rue Royer-Collard, 75005 Paris, France",Non renseigné,non,,,2.831556789732913,"48.8460312, 2.3413867",non
Pharmacie Saint-Michel,"Rue Royer-Collard, 75005 Paris, France",Non renseigné,non,,,2.857286451090633,"48.8462851, 2.340547",non
Grande Pharmacie de l'Arrivée,"Rue de l'Arrivée, 75015 Paris, France",+33 1 45 48 61 20,non,,,2.870924515424571,"48.8438536, 2.3223556",non
Pharmacie F. Gabriel,"Rue des Morillons, 75015 Paris, France",Non renseigné,non,,,2.8772759430456447,"48.832047, 2.3041505",non
Pharmacie F,"141 Avenue de France, 75013 Paris, France",+33 1 86 95 42 42,non,,,2.899060885432313,"48.8319241, 2.3750716",non
Pharmacie Soufflot,"Accès Parking Soufflot Panthéon, 75005 Paris, France",Non renseigné,non,,,2.940154184558706,"48.8470028, 2.3415709",non
Pharmacie du Parc,"Rue Brancion, 75015 Paris, France",Non renseigné,non,,,2.9454685610724978,"48.8328334, 2.3037114",non
Aprium Pharmacie Porte de Brancion,"Boulevard Lefebvre, 75015 Paris, France",+33 1 48 28 32 55,non,,,2.9517926941628136,"48.8284972, 2.3009044",non
Grande pharmacie centrale Pasteur,"Rue Falguière, 75015 Paris, France",+33 1 43 20 78 19,non,,,2.9669824978165344,"48.8415926, 2.3143795",non
Slakmon,"Rue de Rennes, 75006 Paris, France",Non renseigné,non,,,2.9714569611223163,"48.8458344, 2.3260398",non
Pharmacie Bibliothèque,"Rue Neuve Tolbiac, 75013 Paris, France",Non renseigné,non,,,2.9834711383351227,"48.8305832, 2.3772286",non
Pharmacie well & well,"Rue Monge, 75005 Paris, France",Non renseigné,non,,,2.9880928937086275,"48.846246, 2.351593",non
Pharmacie Brancion-Vouillé,"Rue de Vouillé, 75015 Paris, France",Non renseigné,non,,,3.0019289333020285,"48.8347305, 2.3044574",non
Pharmacie d'Assas,"Rue de Fleurus, 75006 Paris, France",+33145481951,non,,,3.0118980444252843,"48.846996, 2.3301669",non
Pharmacie de l'Institut,"Rue Dutot, 75015 Paris, France",Non renseigné,non,,,3.017727350280509,"48.8386302, 2.3085873",non
Pharmacie Trégouet,"Rue de Fleurus, 75006 Paris, France",Non renseigné,non,,,3.0213957534996396,"48.8465962, 2.327388",non
Pharmacie Alleray,"Rue Paul Barruel, 75015 Paris, France",+33148285810,non,,,3.0380089931172742,"48.8369001, 2.3060929",non
Pharmacie Pasteur,"Boulevard Pasteur, 75015 Paris, France",Non renseigné,non,,,3.048185923096203,"48.8418058, 2.31301",non
Pharmacie Necker Pasteur,"Rue Edmond Guillout, 75015 Paris, France",Non renseigné,non,,,3.060387688203555,"48.8422628, 2.3136097",non
Pharmacie Necker,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.079333312012995,"48.8450393, 2.3196142",non
Pharmacie Abbenhaim,"Quai d'Austerlitz, 75013 Paris, France",Non renseigné,non,,,3.1196730540621704,"48.8376543, 2.3732405",non
Pharmacie Saint-Placide,"Rue Saint-Placide, 75006 Paris, France",Non renseigné,non,,,3.1247446904068763,"48.8473381, 2.3262637",non
Pharmacie Vouillé Convention,"Square Frédéric Vallois, 75015 Paris, France",Non renseigné,non,,,3.127819208552016,"48.8354359, 2.3030976",non
Pharmacie du Sénat,"Rue de Vaugirard, 75006 Paris, France",Non renseigné,non,,,3.1366069528316154,"48.8488007, 2.3403871",non
Pharmacie Buffon,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.169316996610728,"48.8426643, 2.3119904",non
Pharmacie Loireau,"Place Josette et Maurice Audin, 75005 Paris, France",Non renseigné,non,,,3.1703935193358466,"48.84804, 2.351166",non
Pharmacie Canillac,"Rue Mayet, 75006 Paris, France",Non renseigné,non,,,3.171002169435639,"48.8460135, 2.3197443",non
Pharmacie 5,"Rue de la Montagne Sainte-Geneviève, 75005 Paris, France",Non renseigné,non,,,3.1989678061188624,"48.8487137, 2.3486754",non
Rennes-Assas,"Rue d'Assas, 75006 Paris, France",Non renseigné,non,,,3.2255098792979897,"48.8487469, 2.3287439",non
Pharmacie Farjon,"Rue La Quintinie, 75015 Paris, France",Non renseigné,non,,,3.2436591103304013,"48.8373325, 2.3031026",non
Pharmacie de la Sorbonne,"Rue des Écoles, 75005 Paris, France",Non renseigné,non,,,3.2674832109285132,"48.8498647, 2.3434385",non
Pharmacie Convention,"Rue de la Convention, 75015 Paris, France",+33 1 48 28 96 98,non,,,3.279970984997047,"48.835778, 2.3009796",non
Pharmacie Bravo,"Rue du Cherche-Midi, 75006 Paris, France",Non renseigné,non,,,3.283513142205093,"48.8485186, 2.324786",non
Pharmacie Ryziger,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.2894337081199083,"48.8414668, 2.3075456",non
Pharmacie Autissier,"Rue du Cherche-Midi, 75006 Paris, France",Non renseigné,non,,,3.323720833227483,"48.8489974, 2.3252251",non
Pharmacie Centrale Seine,"Boulevard du Général d'Armée Jean Simon, 75013 Paris, France",Non renseigné,non,,,3.3237663337606436,"48.8262019, 2.3839968",non
Pharmacie Koch,"Boulevard Saint-Germain, 75005 Paris, France",Non renseigné,non,,,3.347750379944058,"48.8498601, 2.3501727",non
Pharmacie Vaugirard,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.35129202155711,"48.8406121, 2.3051658",non
Pharmacie des Deux Rives,"Boulevard Saint-Germain, 75005 Paris, France",Non renseigné,non,,,3.3559085998512206,"48.849326, 2.353462",non
Pharmacie de Sèvres,"Rue Saint-Jean-Baptiste de la Salle, 75006 Paris, France",Non renseigné,non,,,3.3559429713988616,"48.8477564, 2.3193946",non
Pharmacy Lafragette,"Rue de Sèvres, 75007 Paris, France",Non renseigné,non,,,3.3707187323873025,"48.8475959, 2.3184518",non
Pharmacie de Bercy,"Rue Villiot, 75012 Paris, France",Non renseigné,non,,,3.408717396315641,"48.84109, 2.3740378",non
Pharmacie du Marché,"Rue Marmontel, 75015 Paris, France",+33 1 48 28 67 92,non,,,3.4202911750937077,"48.836517, 2.2994177",non
Pharmacie Sitruk,"Rue Lecourbe, 75015 Paris, France",Non renseigné,non,,,3.4293508701851976,"48.8447637, 2.3102862",non
Pharmacie du Quartier Latin,"Rue Saint-Jacques, 75005 Paris, France",Non renseigné,non,,,3.4329395106418636,"48.8511726, 2.345929",non
Pharmacie Danan,"Rue Cambronne, 75015 Paris, France",Non renseigné,non,,,3.437533103699249,"48.8409327, 2.3040247",non
Pharmacie Devos,"Rue Saint-Sulpice, 75006 Paris, France",Non renseigné,non,,,3.444024984440443,"48.8515303, 2.336934",non
Pharmacie Notre-Dame,"Rue des Trois Portes, 75005 Paris, France",Non renseigné,non,,,3.467159740052256,"48.8512339, 2.3482344",non
Pharmacie Casajuane Vitte,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.5002541090771744,"48.8397449, 2.3014421",non
Pharmacie Delpech,"Rue Danton, 75006 Paris, France",Non renseigné,non,,,3.525576161459578,"48.8522729, 2.3416094",non
Pharmacie Gamma,"Rue Van Gogh, 75012 Paris, France",Non renseigné,non,,,3.5298688322382885,"48.8438487, 2.3722372",non
Pharmacie Lecrubier,"Rue François Bonvin, 75015 Paris, France",Non renseigné,non,,,3.5325632341618802,"48.8438998, 2.3065923",non
Pharmacie Delpech,"Rue Serpente, 75006 Paris, France",Non renseigné,non,,,3.5411892607264392,"48.8524003, 2.3420103",non
Pharmacie Kries,"Rue Blomet, 75015 Paris, France",Non renseigné,non,,,3.542999053139621,"48.8416259, 2.3030314",non
Pharmacie Paris Rive Gauche,"10-12 Boulevard Saint-Michel, 75005 Paris, France",+33 1 43 26 92 66,non,,,3.5569270672302977,"48.8524783, 2.3434253",non
Pharmacie Vaugirard,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.558773854224428,"48.838506, 2.2991038",non
Pharmacie Cohen,"Rue Olivier de Serres, 75015 Paris, France",Non renseigné,non,,,3.565169670345814,"48.8344319, 2.2954625",non
CityPharma,"Rue du Four, 75006 Paris, France",+33 1 46 33 06 09,non,,,3.6012221167712566,"48.8527413, 2.3333559",non
Pharmacie de Babylone,"Rue de Babylone, 75007 Paris, France",Non renseigné,non,,,3.6108854985022316,"48.851809, 2.3257668",non
Pharmacie Gaumerais,"Boulevard Lefebvre, 75015 Paris, France",Non renseigné,non,,,3.6120847661792825,"48.8310482, 2.29268",non
Pharmacie Faldini,"Rue du Four, 75006 Paris, France",Non renseigné,non,,,3.615416154101484,"48.8529806, 2.3349262",non
Pharmacie de Breteuil,"Rue Valentin Haüy, 75015 Paris, France",+33 1 47 34 14 85,non,,,3.62339481675784,"48.847164, 2.3107279",non
Pharmacie Lecourbe Cambronne,"112 Rue Lecourbe, 75015 Paris, France",+33 1 47 34 05 52,non,,,3.6420911784843715,"48.8427695, 2.3027722",non
Grande Pharmacie Hahnemann,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.6451667724155734,"48.8370582, 2.2963339",non
Pharmacie Joussain,"Rue Valentin Haüy, 75015 Paris, France",Non renseigné,non,,,3.6464628508503694,"48.8465112, 2.3088641",non
Pharmacie Jacqueminet,"Rue Blomet, 75015 Paris, France",Non renseigné,non,,,3.646553368189809,"48.8406048, 2.2999249",non
Pharmacie de la Rapée,"Avenue Ledru-Rollin, 75012 Paris, France",+33143430996,non,,,3.663169738639213,"48.8468034, 2.3697331",non
Pharmacie Saint-Germain des Prés,"Rue Gozlin, 75006 Paris, France",Non renseigné,non,,,3.6696874762961826,"48.8533699, 2.3334602",non
Pharmacie du Parc,"Rue George Gershwin, 75012 Paris, France",Non renseigné,non,,,3.6992697370195415,"48.8359778, 2.3842126",non
Pharmacie Coppola,"Rue Dauphine, 75006 Paris, France",Non renseigné,non,,,3.703850148626275,"48.8539071, 2.3387894",non
Pharmacie Schafler,"Rue de Vaugirard, 75015 Paris, France",Non renseigné,non,,,3.7150785250024083,"48.8362406, 2.2945531",non
Pharmacie Centrale de l'Île Saint Louis,"14 Rue des Deux Ponts, 75004 Paris, France",Non renseigné,non,,,3.7178558369662174,"48.8520048, 2.3568332",non
Pharmacie du Train Bleu,"Boulevard Diderot, 75012 Paris, France",Non renseigné,non,,,3.7521961889801534,"48.8459819, 2.3731803",non
Pharmacie de l'Île Saint-Louis,"Rue Jean du Bellay, 75004 Paris, France",+33 1 43 54 39 09,non,,,3.7580399491089893,"48.8530406, 2.3538",non
Grande Pharmacie du Départ,"Rue Parrot, 75012 Paris, France",Non renseigné,non,,,3.760539216609078,"48.8465693, 2.3723121",non
Pharmacie de Seine,"Rue de Seine, 75006 Paris, France",Non renseigné,non,,,3.769710718793971,"48.8544646, 2.336987",non
